what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250461867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250471078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250487511
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1360250492757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250504515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250525815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360250528451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251329617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251334539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251376962
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360251378853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251380586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251383643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251384967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251385000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251385010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251402434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251427812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251429912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1360251429925
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAutomatically",1360251432237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251434114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251435752
