what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330048186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330069351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330078354
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1360330078395
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1360330082396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330082692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330083006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330089596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330128755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330133542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330653510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330707950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330709005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330716378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330726196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360330889850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331313325
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1360331315314
started,bundle,org.codehaus.groovy.eclipse.quickfix,2.6.1.xx-20120121-2200-e37,"org.codehaus.groovy.eclipse.quickfix",1360331315504
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1360331315587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331321347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331325185
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331325205
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331341259
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331343399
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331343672
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331344634
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331344811
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331349615
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331349878
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331353544
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331353680
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331363270
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331363512
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331364452
opened,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331365552
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331365626
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331375641
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1360331377406
opened,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331377495
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331377576
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331381157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331393029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331396055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331398434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331400316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331404020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331405918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331410008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331411656
opened,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331437210
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360331437342
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360331445014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331542553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331560046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331658444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331765846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331770405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360331984158
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1360332003733
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360332009038
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360332022035
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360332030107
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1360332060404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360332068272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360332074454
