what,kind,bundleId,bundleVersion,description,time
error,log,,,"Provisioning exception",1360228957678
error,log,,,"Provisioning exception",1360228957778
error,log,,,"Provisioning exception",1360228957878
error,log,,,"Provisioning exception",1360228957997
error,log,,,"Provisioning exception",1360228958184
error,log,,,"Provisioning exception",1360228958277
error,log,,,"Some sites could not be found.  See the error log for more detail.",1360228958279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360228971458
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1360228971509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360228983868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229002514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1360229002525
activated,editor,org.jboss.tools.central,1.0.0.v20111213-1606-H19-M5,"org.jboss.tools.central.editors.JBossCentralEditor",1360229005172
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1360229005231
closed,editor,org.jboss.tools.central,1.0.0.v20111213-1606-H19-M5,"org.jboss.tools.central.editors.JBossCentralEditor",1360229005233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229015585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229044981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1360229044996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229046094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229134900
started,bundle,com.atlassian.connector.eclipse.monitor.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.monitor.core",1360229134932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229136932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229138392
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360229138506
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1360229139072
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1360229139108
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1360229140422
stopped,bundle,com.springsource.sts.roo.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.roo.ui",1360229140422
stopped,bundle,com.springsource.sts.maven,2.8.1.201111221000-RELEASE,"com.springsource.sts.maven",1360229140422
stopped,bundle,org.codehaus.groovy.m2eclipse,2.6.1.xx-20120121-2200-e37,"org.codehaus.groovy.m2eclipse",1360229140422
