what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1365420487685
started,bundle,org.springframework.ide.eclipse.webflow.core,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.webflow.core",1365420490496
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1365420491509
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1365420512621
started,bundle,com.springsource.sts.ide.metadata,2.8.1.201111221000-RELEASE,"com.springsource.sts.ide.metadata",1365420512952
error,log,,,"No repository found at http://update.aptana.com/update/3.2/.",1365420516172
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1365420522019
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1365420522162
error,log,,,"Provisioning exception",1365420528275
error,log,,,"Provisioning exception",1365420530858
error,log,,,"Provisioning exception",1365420533477
error,log,,,"Provisioning exception",1365420536135
activated,editor,com.springsource.sts.ide.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1365420538274
error,log,,,"Provisioning exception",1365420538778
error,log,,,"Provisioning exception",1365420541465
error,log,,,"Provisioning exception",1365420544086
error,log,,,"Provisioning exception",1365420546704
error,log,,,"Provisioning exception",1365420549309
error,log,,,"Provisioning exception",1365420551919
error,log,,,"Provisioning exception",1365420556305
activated,view,org.springframework.ide.eclipse.ui,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1365420571150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1365420571153
activated,editor,com.springsource.sts.ide.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1365420583941
error,log,,,"Unhandled event loop exception",1365420596780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420598351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420601181
error,log,,,"Unexpected exception: class ""org.eclipse.mylyn.internal.discovery.ui.PrepareInstallProfileJob_e_3_5""'s signer information does not match signer information of other classes in the same package",1365420601197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420608324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420614178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1365420614192
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1365420621153
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1365420621416
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365420627143
activated,editor,com.springsource.sts.ide.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1365420630044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420638789
error,log,,,"No repository found at jar:file:/D:/Install/net.sf.wdte.js_0.0.9.zip!/.",1365420639206
error,log,,,"Unable to read repository at jar:file:/D:/Install/net.sf.wdte.js_0.0.9.zip/content.xml.",1365420639413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420651253
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365420651559
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1365420651831
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1365420652532
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1365420654682
