what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1360251638797
error,log,,,"Errors occurred during the build.",1360251638904
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251639111
error,log,,,"Errors occurred during the build.",1360251639112
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1360251644618
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1360251644767
error,log,,,"No repository found at http://download.jboss.org/jbosstools/updates/indigo/SR1/.",1360251647387
error,log,,,"No repository found at http://download.eclipse.org/technology/m2e/releases/.",1360251647714
error,log,,,"No repository found at http://download.eclipse.org/eclipse/updates/3.7.",1360251647840
error,log,,,"No repository found at http://download.eclipse.org/webtools/repository/indigo.",1360251649024
error,log,,,"No repository found at http://marketplace.eclipse.org/repo/.",1360251649133
error,log,,,"No repository found at http://archive.eclipse.org/mylyn/drops/3.8.0/v20120612-0600.",1360251649242
error,log,,,"No repository found at jar:file:/D:/Install/net.sf.wdte.js_0.0.9.zip!/.",1360251649280
error,log,,,"Unable to read repository at jar:file:/D:/Install/net.sf.wdte.js_0.0.9.zip/content.xml.",1360251649486
error,log,,,"No repository found at http://download.jboss.org/jbosstools/updates/development/indigo.",1360251649585
error,log,,,"No repository found at http://jadclipse.sf.net/update.",1360251649694
error,log,,,"No repository found at http://jautodoc.sourceforge.net/update/.",1360251649788
error,log,,,"No repository found at http://download.eclipse.org/mylyn/releases/indigo.",1360251649960
error,log,,,"No repository found at http://archive.eclipse.org/eclipse/downloads/drops/M20110909-1335.",1360251650053
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1360251650079
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1360251650094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251658085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1360251658099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251664424
error,log,,,"Errors occurred during the build.",1360251664432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251664464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251665590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251668147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251677102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1360251677115
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251677234
error,log,,,"Errors occurred during the build.",1360251677573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251677599
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251677789
error,log,,,"Errors occurred during the build.",1360251678130
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251678321
error,log,,,"Errors occurred during the build.",1360251678322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251686486
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAutomatically",1360251690155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251692087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251694811
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1360251694823
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251694955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1360251695065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360251695292
error,log,,,"Errors occurred during the build.",1360251695911
